Bengali,Meitei Mayek
পোরনোগ্রাফি,ꯄꯣꯔꯅꯣꯒꯔ꯭ꯥꯐꯤ
ক্রোসরিএক্ট,ꯀꯔ꯭ꯣꯁꯔꯤꯑꯦꯛꯇ
কাউন্সিল্লর,ꯀꯥꯎꯟꯁꯤꯜꯂꯔ
ইন্তরেস্তকী,ꯏꯟꯇꯔꯦꯁꯇꯀꯤ
লীথোক্চবদগী,ꯂꯤꯊꯣꯛꯆꯕꯗꯒꯤ
সবসেন্টরশীং,ꯁꯕꯁꯦꯟꯇꯔꯁꯤꯡ
তাহন্নিংদে,ꯇꯥꯍꯟꯅꯤꯡꯗꯦ
মেলেরিয়াদগী,ꯃꯦꯂꯦꯔꯤꯌꯥꯗꯒꯤ
এন্টিসোসিএল,ꯑꯦꯟꯇꯤꯁꯣꯁꯤꯑꯦꯜ
ইক্রান্তিগী,ꯏꯀꯔ꯭ꯥꯟꯇꯤꯒꯤ
লৌথোক্কদবনি,ꯂꯧꯊꯣꯛꯀꯗꯕꯅꯤ
লৈবাক্তংখায়,ꯂꯩꯕꯥꯛꯇꯪꯈꯥꯌ
শাশিন্নবশীং,ꯁꯥꯁꯤꯟꯅꯕꯁꯤꯡ
পুরক্ত্রবদি,ꯄꯨꯔꯛꯇꯔ꯭ꯕꯗꯤ
চৈথেংশিংদগী,ꯆꯩꯊꯦꯡꯁꯤꯡꯗꯒꯤ
চামিন্নরবদি,ꯆꯥꯃꯤꯟꯅꯔꯕꯗꯤ
দোক্তরশিংসু,ꯗꯣꯛꯇꯔꯁꯤꯡꯁꯨ
চাগাচাদিংগী,ꯆꯥꯒꯥꯆꯥꯗꯤꯡꯒꯤ
রেসিষ্টেন্ট,ꯔꯦꯁꯤꯁꯇꯦꯟꯇ
মীওইশিংদুবু,ꯃꯤꯑꯣꯏꯁꯤꯡꯗꯨꯕꯨ
অমাংঅশোয়শীং,ꯑꯃꯥꯡꯑꯁꯣꯌꯁꯤꯡ
ৱেষ্টলেন্দস,ꯋꯦꯁꯇꯂꯦꯟꯗꯁ
প্রোহিবিটেদ,ꯄꯔ꯭ꯣꯍꯤꯕꯤꯇꯦꯗ
সেন্টরশিংগী,ꯁꯦꯟꯇꯔꯁꯤꯡꯒꯤ
একাউন্টসসেট,ꯑꯦꯀꯥꯎꯟꯇꯁꯁꯦꯠ
য়ুতিলাইজেসন,ꯌꯨꯇꯤꯂꯥꯏꯖꯦꯁꯟ
লিঙ্গুইস্ত,ꯂꯤꯡꯒꯨꯏꯁꯇ
থিবিরক্ত্রে,ꯊꯤꯕꯤꯔꯛꯇꯔ꯭ꯦ
পাঙ্থোক্পদি,ꯄꯥꯡꯊꯣꯛꯄꯗꯤ
হেঙ্গৎহল্লি,ꯍꯦꯡꯒꯠꯍꯜꯂꯤ
ওথেন্টিসিটি,ꯑꯣꯊꯦꯟꯇꯤꯁꯤꯇꯤ
ওর্গানাইজিং,ꯑꯣꯔꯒꯥꯅꯥꯏꯖꯤꯡ
খোংথাংশীংগী,ꯈꯣꯡꯊꯥꯡꯁꯤꯡꯒꯤ
য়ানীংদ্রগদি,ꯌꯥꯅꯤꯡꯗꯔ꯭ꯒꯗꯤ
স্কাভেঞ্জরস,ꯁꯀ꯭ꯥꯚꯦꯟꯖꯔꯁ
সিক্করশিংগী,ꯁꯤꯛꯀꯔꯁꯤꯡꯒꯤ
এজেন্টশীংনি,ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯅꯤ
ৱাখল্লোন্দি,ꯋꯥꯈꯜꯂꯣꯟꯗꯤ
হৈশিংবশিংগী,ꯍꯩꯁꯤꯡꯕꯁꯤꯡꯒꯤ
টেম্পরপ্রুফ,ꯇꯦꯝꯄꯔꯄꯔ꯭ꯨꯐ
দেতাবেজসিবু,ꯗꯦꯇꯥꯕꯦꯖꯁꯤꯕꯨ
ইম্পেক্টশীং,ꯏꯝꯄꯦꯛꯇꯁꯤꯡ
কাউন্টরসাইন,ꯀꯥꯎꯟꯇꯔꯁꯥꯏꯟ
খুন্নাইসিগী,ꯈꯨꯟꯅꯥꯏꯁꯤꯒꯤ
অনিকেতানাগী,ꯑꯅꯤꯀꯦꯇꯥꯅꯥꯒꯤ
লৈকাইদগীনি,ꯂꯩꯀꯥꯏꯗꯒꯤꯅꯤ
শিজিন্নদবগী,ꯁꯤꯖꯤꯟꯅꯗꯕꯒꯤ
টর্কিশীংদদি,ꯇꯔꯀꯤꯁꯤꯡꯗꯗꯤ
সর্ভেন্টশীং,ꯁꯔꯚꯦꯟꯇꯁꯤꯡ
এমোনিফিকেসন,ꯑꯦꯃꯣꯅꯤꯐꯤꯀꯦꯁꯟ
এদজষ্টমেন্ট,ꯑꯦꯗꯖꯁꯇꯃꯦꯟꯇ
ফ্লেয়রশীংসি,ꯐꯂ꯭ꯦꯌꯔꯁꯤꯡꯁꯤ
কোর্পোরেটেদ,ꯀꯣꯔꯄꯣꯔꯦꯇꯦꯗ
ওইহন্নীংবদু,ꯑꯣꯏꯍꯟꯅꯤꯡꯕꯗꯨ
শোক্নশম্নদে,ꯁꯣꯛꯅꯁꯝꯅꯗꯦ
ভেল্যুশীংগী,ꯚꯦꯂꯌ꯭ꯨꯁꯤꯡꯒꯤ
স্তেন্দার্দ,ꯁꯇ꯭ꯦꯟꯗꯥꯔꯗ
সাইনোভাইটিস,ꯁꯥꯏꯅꯣꯚꯥꯏꯇꯤꯁ
পার্সিএল্লি,ꯄꯥꯔꯁꯤꯑꯦꯜꯂꯤ
কান্নদ্রবদি,ꯀꯥꯟꯅꯗꯔ꯭ꯕꯗꯤ
হিষ্টোরিয়ান,ꯍꯤꯁꯇꯣꯔꯤꯌꯥꯟ
দিমোক্রেটিক,ꯗꯤꯃꯣꯀꯔ꯭ꯦꯇꯤꯛ
য়ুনিভর্সেল,ꯌꯨꯅꯤꯚꯔꯁꯦꯜ
লৈশাবীশিংদো,ꯂꯩꯁꯥꯕꯤꯁꯤꯡꯗꯣ
মিনিষ্টরশীং,ꯃꯤꯅꯤꯁꯇꯔꯁꯤꯡ
লৈমিন্নরিঙৈ,ꯂꯩꯃꯤꯟꯅꯔꯤꯉꯩ
টুর্নামেন্ট,ꯇꯨꯔꯅꯥꯃꯦꯟꯇ
থাদরক্পোইরে,ꯊꯥꯗꯔꯛꯄꯣꯏꯔꯦ
দেতাবেজদুগী,ꯗꯦꯇꯥꯕꯦꯖꯗꯨꯒꯤ
চেন্নরিবশিং,ꯆꯦꯟꯅꯔꯤꯕꯁꯤꯡ
টেকে৺ালোজি,ꯇꯦꯀꯦ৺ꯥꯂꯣꯖꯤ
পুথোক্কদবনি,ꯄꯨꯊꯣꯛꯀꯗꯕꯅꯤ
মান্নরবোইরে,ꯃꯥꯟꯅꯔꯕꯣꯏꯔꯦ
হন্দমুক্কদি,ꯍꯟꯗꯃꯨꯛꯀꯗꯤ
সাহারিয়াশীং,ꯁꯥꯍꯥꯔꯤꯌꯥꯁꯤꯡ
বেক্টেরিয়েল,ꯕꯦꯛꯇꯦꯔꯤꯌꯦꯜ
রিহেবিলিটেট,ꯔꯤꯍꯦꯕꯤꯂꯤꯇꯦꯠ
কন্সত্রক্সন,ꯀꯟꯁꯇꯔ꯭ꯛꯁꯟ
লোয়দ্রিঙৈগী,ꯂꯣꯌꯗꯔ꯭ꯤꯉꯩꯒꯤ
ফুরিৎখাউদগী,ꯐꯨꯔꯤꯠꯈꯥꯎꯗꯒꯤ
অঙাংশীংগীদি,ꯑꯉꯥꯡꯁꯤꯡꯒꯤꯗꯤ
হায়্রক্পদগী,ꯍꯥꯌꯔ꯭ꯛꯄꯗꯒꯤ
নংথরক্পোইরে,ꯅꯪꯊꯔꯛꯄꯣꯏꯔꯦ
পীবীরোইদবনি,ꯄꯤꯕꯤꯔꯣꯏꯗꯕꯅꯤ
এজেন্টশীংবু,ꯑꯦꯖꯦꯟꯇꯁꯤꯡꯕꯨ
ফ্রাউদশীংগী,ꯐꯔ꯭ꯥꯎꯗꯁꯤꯡꯒꯤ
কান্নবশীংগী,ꯀꯥꯟꯅꯕꯁꯤꯡꯒꯤ
প্রজেন্তেশন,ꯄꯔ꯭ꯖꯦꯟꯇꯦꯁꯟ
হেঙ্গৎখ্রে,ꯍꯦꯡꯒꯠꯈꯔ꯭ꯦ
ফোংদোক্নবগী,ꯐꯣꯡꯗꯣꯛꯅꯕꯒꯤ
ইন্টরেক্টিভ,ꯏꯟꯇꯔꯦꯛꯇꯤꯚ
লোয়হৌদ্রবদি,ꯂꯣꯌꯍꯧꯗꯔ꯭ꯕꯗꯤ
এক্সটেন্সিভ,ꯑꯦꯛꯁꯇꯦꯟꯁꯤꯚ
হার্ভেষ্টিং,ꯍꯥꯔꯚꯦꯁꯇꯤꯡ
চংশিন্নখ্রে,ꯆꯪꯁꯤꯟꯅꯈꯔ꯭ꯦ
শীজিন্নবীয়ু,ꯁꯤꯖꯤꯟꯅꯕꯤꯌꯨ
দিজিতাইজেশন,ꯗꯤꯖꯤꯇꯥꯏꯖꯦꯁꯟ
মেটাষ্টেটিক,ꯃꯦꯇꯥꯁꯇꯦꯇꯤꯛ
দাইএবেটিজসু,ꯗꯥꯏꯑꯦꯕꯦꯇꯤꯖꯁꯨ
প্রোগ্রামিং,ꯄꯔ꯭ꯣꯒꯔ꯭ꯥꯃꯤꯡ
ইঃিদপেঃেদঃট,ꯏঃꯤꯗꯄꯦঃꯦꯗঃꯠ
মিনিষ্টরশিং,ꯃꯤꯅꯤꯁꯇꯔꯁꯤꯡ
মেন্টরশীংগী,ꯃꯦꯟꯇꯔꯁꯤꯡꯒꯤ
ইন্তিগ্রেসন,ꯏꯟꯇꯤꯒꯔ꯭ꯦꯁꯟ
ভত্তচারজিগী,ꯚꯠꯇꯆꯥꯔꯖꯤꯒꯤ
ব্লাইন্দনেস,ꯕꯂ꯭ꯥꯏꯟꯗꯅꯦꯁ
কোলাবোরেটিভ,ꯀꯣꯂꯥꯕꯣꯔꯦꯇꯤꯚ
কন্তেন্তশিং,ꯀꯟꯇꯦꯟꯇꯁꯤꯡ
ওইগদৌরিবীদু,ꯑꯣꯏꯒꯗꯧꯔꯤꯕꯤꯗꯨ
ভিজিলেন্সকী,ꯚꯤꯖꯤꯂꯦꯟꯁꯀꯤ
খুত্শাংবীগি,ꯈꯨꯠꯁꯥꯡꯕꯤꯒꯤ
নুংঙাইহল্লি,ꯅꯨꯡꯉꯥꯏꯍꯜꯂꯤ
খত্নরনুসিকো,ꯈꯠꯅꯔꯅꯨꯁꯤꯀꯣ
লোকেলাইজেসন,ꯂꯣꯀꯦꯂꯥꯏꯖꯦꯁꯟ
সর্ভিসশীংগী,ꯁꯔꯚꯤꯁꯁꯤꯡꯒꯤ
পোলিয়ুরিথেন,ꯄꯣꯂꯤꯌꯨꯔꯤꯊꯦꯟ
এক্সট্রেক্ট,ꯑꯦꯛꯁꯇꯔ꯭ꯦꯛꯇ
মেটাফোরিকেল,ꯃꯦꯇꯥꯐꯣꯔꯤꯀꯦꯜ
ম্যুজিওলোজি,ꯃꯌ꯭ꯨꯖꯤꯑꯣꯂꯣꯖꯤ
চঙ্খ্রবোইরে,ꯆꯡꯈꯔ꯭ꯕꯣꯏꯔꯦ
আইদেন্টিটি,ꯑꯥꯏꯗꯦꯟꯇꯤꯇꯤ
ম্যুনিসিপাল,ꯃꯌ꯭ꯨꯅꯤꯁꯤꯄꯥꯜ
রেদিওএক্টিভ,ꯔꯦꯗꯤꯑꯣꯑꯦꯛꯇꯤꯚ
কন্থোক্কদগে,ꯀꯟꯊꯣꯛꯀꯗꯒꯦ
কমেন্টসজেসন,ꯀꯃꯦꯟꯇꯁꯖꯦꯁꯟ
দিসওর্দরশীং,ꯗꯤꯁꯑꯣꯔꯗꯔꯁꯤꯡ
ফ্রোষ্টবাইট,ꯐꯔ꯭ꯣꯁꯇꯕꯥꯏꯠ
ওবষ্টেট্রিক,ꯑꯣꯕꯁꯇꯦꯇꯔ꯭ꯤꯛ
প্রোগামেটিক,ꯄꯔ꯭ꯣꯒꯥꯃꯦꯇꯤꯛ
পেসিফায়রশীং,ꯄꯦꯁꯤꯐꯥꯌꯔꯁꯤꯡ
লুপাশিংদুগী,ꯂꯨꯄꯥꯁꯤꯡꯗꯨꯒꯤ
রেজিষ্ট্রার,ꯔꯦꯖꯤꯁꯇꯔ꯭ꯥꯔ
টেরোরিষ্টকী,ꯇꯦꯔꯣꯔꯤꯁꯇꯀꯤ
ছাত্রাশিংগী,ꯁꯥꯇꯔ꯭ꯥꯁꯤꯡꯒꯤ
হায়রিবসিবু,ꯍꯥꯌꯔꯤꯕꯁꯤꯕꯨ
সেল্ফষ্টাইল,ꯁꯦꯜꯐꯁꯇꯥꯏꯜ
চঙ্শিল্লক্এ,ꯆꯡꯁꯤꯜꯂꯛꯑꯦ
ওবষ্ট্রেটিক,ꯑꯣꯕꯁꯇꯔ꯭ꯦꯇꯤꯛ
কন্টেক্টশীং,ꯀꯟꯇꯦꯛꯇꯁꯤꯡ
ৱাংখত্পোইরে,ꯋꯥꯡꯈꯠꯄꯣꯏꯔꯦ
ইন্তরনেসনেল,ꯏꯟꯇꯔꯅꯦꯁꯅꯦꯜ
ব্যুরোক্রেট,ꯕꯌ꯭ꯨꯔꯣꯀꯔ꯭ꯦꯠ
ভোলুন্টিয়ার,ꯚꯣꯂꯨꯟꯇꯤꯌꯥꯔ
য়েংশিন্নবগী,ꯌꯦꯡꯁꯤꯟꯅꯕꯒꯤ
ফিলিপিন্সকী,ꯐꯤꯂꯤꯄꯤꯟꯁꯀꯤ
প্রোসিদ্যুর,ꯄꯔ꯭ꯣꯁꯤꯗꯌ꯭ꯨꯔ
ইন্দাষ্ট্রি,ꯏꯟꯗꯥꯁꯇꯔ꯭ꯤ
লেন্টর্নশীং,ꯂꯦꯟꯇꯔꯅꯁꯤꯡ
দাইএষ্টোলিক,ꯗꯥꯏꯑꯦꯁꯇꯣꯂꯤꯛ
ৱান্থখ্রবদি,ꯋꯥꯟꯊꯈꯔ꯭ꯕꯗꯤ
পোত্থাগদবনি,ꯄꯣꯠꯊꯥꯒꯗꯕꯅꯤ
হিংচাবীদুগী,ꯍꯤꯡꯆꯥꯕꯤꯗꯨꯒꯤ
পাংথোক্কদগে,ꯄꯥꯡꯊꯣꯛꯀꯗꯒꯦ
লুচিংবশিংদি,ꯂꯨꯆꯤꯡꯕꯁꯤꯡꯗꯤ
চত্থোক্খিনু,ꯆꯠꯊꯣꯛꯈꯤꯅꯨ
থবক্শিংদুসু,ꯊꯕꯛꯁꯤꯡꯗꯨꯁꯨ
লোজিস্তিক্স,ꯂꯣꯖꯤꯁꯇꯤꯛꯁ
ষ্টেবিলাইজর,ꯁꯇ꯭ꯦꯕꯤꯂꯥꯏꯖꯔ
শিন্নগদবনি,ꯁꯤꯟꯅꯒꯗꯕꯅꯤ
অমেরিকানাগী,ꯑꯃꯦꯔꯤꯀꯥꯅꯥꯒꯤ
টেলিগ্রাফকী,ꯇꯦꯂꯤꯒꯔ꯭ꯥꯐꯀꯤ
খায়দোরক্কনি,ꯈꯥꯌꯗꯣꯔꯛꯀꯅꯤ
মাঙ্হন্সিগে,ꯃꯥꯡꯍꯟꯁꯤꯒꯦ
রিমাইন্দরগী,ꯔꯤꯃꯥꯏꯟꯗꯔꯒꯤ
পেসেজশীংদগী,ꯄꯦꯁꯦꯖꯁꯤꯡꯗꯒꯤ
প্রোগ্নোসিস,ꯄꯔ꯭ꯣꯒꯅꯣꯁꯤꯁ
লেপ্থোক্নরে,ꯂꯦꯞꯊꯣꯛꯅꯔꯦ
ইকায়্খিবদগী,ꯏꯀꯥꯌꯈꯤꯕꯗꯒꯤ
কমেন্সমেন্ট,ꯀꯃꯦꯟꯁꯃꯦꯟꯇ
এক্সচেঞ্জেস,ꯑꯦꯛꯁꯆꯦꯟꯖꯦꯁ
খন্দোক্খ্রে,ꯈꯟꯗꯣꯛꯈꯔ꯭ꯦ
প্রোপেগেটিং,ꯄꯔ꯭ꯣꯄꯦꯒꯦꯇꯤꯡ
সিমিত্রিকেল,ꯁꯤꯃꯤꯇꯔ꯭ꯤꯀꯦꯜ
তোক্খিবোইরে,ꯇꯣꯛꯈꯤꯕꯣꯏꯔꯦ
শঙ্গাগদৌরি,ꯁꯡꯒꯥꯒꯗꯧꯔꯤ
সেগমেন্টশীং,ꯁꯦꯒꯃꯦꯟꯇꯁꯤꯡ
আর্টিষ্টিক,ꯑꯥꯔꯇꯤꯁꯇꯤꯛ
লেপ্রোসিদগী,ꯂꯦꯄꯔ꯭ꯣꯁꯤꯗꯒꯤ
কেপাসিটিশীং,ꯀꯦꯄꯥꯁꯤꯇꯤꯁꯤꯡ
শিজিন্নবদগী,ꯁꯤꯖꯤꯟꯅꯕꯗꯒꯤ
রেস্পোন্সকী,ꯔꯦꯁꯄꯣꯟꯁꯀꯤ
ফাইনান্সিএল,ꯐꯥꯏꯅꯥꯟꯁꯤꯑꯦꯜ
মহৈরোয়শিংবু,ꯃꯍꯩꯔꯣꯌꯁꯤꯡꯕꯨ
প্রোভিদেন্ট,ꯄꯔ꯭ꯣꯚꯤꯗꯦꯟꯇ
রেজিষ্ট্রসন,ꯔꯦꯖꯤꯁꯇꯔ꯭ꯁꯟ
শান্তিপুরগী,ꯁꯥꯟꯇꯤꯄꯨꯔꯒꯤ
অনুক্রিতিগী,ꯑꯅꯨꯀꯔ꯭ꯤꯇꯤꯒꯤ
রেস্পোন্সিভ,ꯔꯦꯁꯄꯣꯟꯁꯤꯚ
কালাঅজারদগী,ꯀꯥꯂꯥꯑꯖꯥꯔꯗꯒꯤ
লেন্খিবোইরে,ꯂꯦꯟꯈꯤꯕꯣꯏꯔꯦ
শিজিন্নরবদি,ꯁꯤꯖꯤꯟꯅꯔꯕꯗꯤ
ৱেবসাইত্তসু,ꯋꯦꯕꯁꯥꯏꯠꯇꯁꯨ
চত্থরিবশীগি,ꯆꯠꯊꯔꯤꯕꯁꯤꯒꯤ
প্রাক্টিকেল,ꯄꯔ꯭ꯥꯛꯇꯤꯀꯦꯜ
এক্সপেক্টেদ,ꯑꯦꯛꯁꯄꯦꯛꯇꯦꯗ
সবষ্টিট্যুট,ꯁꯕꯁꯇꯤꯇꯌ꯭ꯨꯠ
মাইক্রোসোফট,ꯃꯥꯏꯀꯔ꯭ꯣꯁꯣꯐꯠ
অহুম্সুবাগী,ꯑꯍꯨꯝꯁꯨꯕꯥꯒꯤ
কান্নবশীংদু,ꯀꯥꯟꯅꯕꯁꯤꯡꯗꯨ
খাঙেন্ফম্দা,ꯈꯥꯉꯦꯟꯐꯝꯗꯥ
ত্রেনিশীংগী,ꯇꯔ꯭ꯦꯅꯤꯁꯤꯡꯒꯤ
থৌওইবীখিদে,ꯊꯧꯑꯣꯏꯕꯤꯈꯤꯗꯦ
হুম্ফুনিথোই,ꯍꯨꯝꯐꯨꯅꯤꯊꯣꯏ
স্পেসিএলাইজ,ꯁꯄ꯭ꯦꯁꯤꯑꯦꯂꯥꯏꯖ
পেরামেদিকেল,ꯄꯦꯔꯥꯃꯦꯗꯤꯀꯦꯜ
ইনিসিএটিভকী,ꯏꯅꯤꯁꯤꯑꯦꯇꯤꯚꯀꯤ
চাউখৎখ্রবদি,ꯆꯥꯎꯈꯠꯈꯔ꯭ꯕꯗꯤ
ষ্ট্রাতেজিজ,ꯁꯇ꯭ꯔ꯭ꯥꯇꯦꯖꯤꯖ
দিজিটাইজেসন,ꯗꯤꯖꯤꯇꯥꯏꯖꯦꯁꯟ
দেমোগ্রাফিক,ꯗꯦꯃꯣꯒꯔ꯭ꯥꯐꯤꯛ
ৱার্করশীংগী,ꯋꯥꯔꯀꯔꯁꯤꯡꯒꯤ
ওল্হন্গদবনি,ꯑꯣꯜꯍꯟꯒꯗꯕꯅꯤ
বাইওসাইদশীং,ꯕꯥꯏꯑꯣꯁꯥꯏꯗꯁꯤꯡ
পীরক্ত্রবদি,ꯄꯤꯔꯛꯇꯔ꯭ꯕꯗꯤ
প্রদক্সন্দা,ꯄꯔ꯭ꯗꯛꯁꯟꯗꯥ
য়াইফথৌরাংগী,ꯌꯥꯏꯐꯊꯧꯔꯥꯡꯒꯤ
প্রেগনেন্সি,ꯄꯔ꯭ꯦꯒꯅꯦꯟꯁꯤ
মহৈরোইশিংগী,ꯃꯍꯩꯔꯣꯏꯁꯤꯡꯒꯤ
খোংথাংশীংসি,ꯈꯣꯡꯊꯥꯡꯁꯤꯡꯁꯤ
হায়্দোক্কনু,ꯍꯥꯌꯗꯣꯛꯀꯅꯨ
ফাওহন্দ্রে,ꯐꯥꯑꯣꯍꯟꯗꯔ꯭ꯦ
ষ্টেন্দপাইপ,ꯁꯇ꯭ꯦꯟꯗꯄꯥꯏꯞ
পোষ্টপার্টম,ꯄꯣꯁꯇꯄꯥꯔꯇꯝ
মচানুপাদুসু,ꯃꯆꯥꯅꯨꯄꯥꯗꯨꯁꯨ
প্রোমোশিংগী,ꯄꯔ꯭ꯣꯃꯣꯁꯤꯡꯒꯤ
লাইরেন্দুগী,ꯂꯥꯏꯔꯦꯟꯗꯨꯒꯤ
ত্রেদিস্নেল,ꯇꯔ꯭ꯦꯗꯤꯁꯅꯦꯜ
তক্সপেন্তকী,ꯇꯛꯁꯄꯦꯟꯇꯀꯤ
থোংথোংনাউদু,ꯊꯣꯡꯊꯣꯡꯅꯥꯎꯗꯨ
সিঙ্গাপুরসু,ꯁꯤꯡꯒꯥꯄꯨꯔꯁꯨ
চেন্থোরক্পা,ꯆꯦꯟꯊꯣꯔꯛꯄꯥ
শান্নমিন্নৈ,ꯁꯥꯟꯅꯃꯤꯟꯅꯩ
পীরক্কদবনি,ꯄꯤꯔꯛꯀꯗꯕꯅꯤ
কন্টিন্যুইং,ꯀꯟꯇꯤꯅꯌ꯭ꯨꯏꯡ
ফার্মরশীংগী,ꯐꯥꯔꯃꯔꯁꯤꯡꯒꯤ
চংহল্লোইদগী,ꯆꯪꯍꯜꯂꯣꯏꯗꯒꯤ
ওফেন্সশীংসি,ꯑꯣꯐꯦꯟꯁꯁꯤꯡꯁꯤ
এপ্রোচশীংগি,ꯑꯦꯄꯔ꯭ꯣꯆꯁꯤꯡꯒꯤ
লৈখ্রপোত্নি,ꯂꯩꯈꯔ꯭ꯄꯣꯠꯅꯤ
ইন্সটিট্যুট,ꯏꯟꯁꯇꯤꯇꯌ꯭ꯨꯠ
মর্ক্যুরিগী,ꯃꯔꯀꯌ꯭ꯨꯔꯤꯒꯤ
কারক্খিদ্রে,ꯀꯥꯔꯛꯈꯤꯗꯔ꯭ꯦ
মিজরমেন্টগী,ꯃꯤꯖꯔꯃꯦꯟꯇꯒꯤ
হেমাতোলোজিক,ꯍꯦꯃꯥꯇꯣꯂꯣꯖꯤꯛ
নিংশিংগদবদি,ꯅꯤꯡꯁꯤꯡꯒꯗꯕꯗꯤ
লোইশিন্নবগী,ꯂꯣꯏꯁꯤꯟꯅꯕꯒꯤ
চিয়রাপার্সন,ꯆꯤꯌꯔꯥꯄꯥꯔꯁꯟ
সেন্টরশীংগী,ꯁꯦꯟꯇꯔꯁꯤꯡꯒꯤ
নাগালেন্দগী,ꯅꯥꯒꯥꯂꯦꯟꯗꯒꯤ
ট্রান্সমিশন,ꯇꯔ꯭ꯥꯟꯁꯃꯤꯁꯟ
পোষ্টশীংদগী,ꯄꯣꯁꯇꯁꯤꯡꯗꯒꯤ
মাংখিদ্রবদি,ꯃꯥꯡꯈꯤꯗꯔ꯭ꯕꯗꯤ
বোর্মন্ত্রি,ꯕꯣꯔꯃꯟꯇꯔ꯭ꯤ
দিমোক্রেসিঃ,ꯗꯤꯃꯣꯀꯔ꯭ꯦꯁꯤঃ
ইন্দাইরেক্ত,ꯏꯟꯗꯥꯏꯔꯦꯛꯇ
থাদরোইদবনি,ꯊꯥꯗꯔꯣꯏꯗꯕꯅꯤ
মতুংইন্নাগী,ꯃꯇꯨꯡꯏꯟꯅꯥꯒꯤ
টেষ্টক্যুইজ,ꯇꯦꯁꯇꯀꯌ꯭ꯨꯏꯖ
কোনুংগুম্না,ꯀꯣꯅꯨꯡꯒꯨꯝꯅꯥ
সেন্টিনেলিজ,ꯁꯦꯟꯇꯤꯅꯦꯂꯤꯖ
ঘাজিয়াবাদকী,ꯘꯥꯖꯤꯌꯥꯕꯥꯗꯀꯤ
প্রদ্যুসরগী,ꯄꯔ꯭ꯗꯌ꯭ꯨꯁꯔꯒꯤ
মশূনুপাদুবু,ꯃꯁꯨꯅꯨꯄꯥꯗꯨꯕꯨ
চোংথোরক্কনি,ꯆꯣꯡꯊꯣꯔꯛꯀꯅꯤ
দেমোক্রেটিক,ꯗꯦꯃꯣꯀꯔ꯭ꯦꯇꯤꯛ
কান্নখ্রবদি,ꯀꯥꯟꯅꯈꯔ꯭ꯕꯗꯤ
লৈখিদরবোইরে,ꯂꯩꯈꯤꯗꯔꯕꯣꯏꯔꯦ
দিৱার্মিংগী,ꯗꯤꯋꯥꯔꯃꯤꯡꯒꯤ
থৌগৎপীগদবনি,ꯊꯧꯒꯠꯄꯤꯒꯗꯕꯅꯤ
মাঙ্থোক্খরে,ꯃꯥꯡꯊꯣꯛꯈꯔꯦ
চাগাচাদিংসি,ꯆꯥꯒꯥꯆꯥꯗꯤꯡꯁꯤ
মচিঞ্জাক্কা,ꯃꯆꯤꯟꯖꯥꯛꯀꯥ
খুৎশম্নরবদি,ꯈꯨꯠꯁꯝꯅꯔꯕꯗꯤ
রেসপোন্সশীং,ꯔꯦꯁꯄꯣꯟꯁꯁꯤꯡ
দিষ্ট্রীক্ট,ꯗꯤꯁꯇꯔ꯭ꯤꯛꯇ
লৈহৌরগদবনি,ꯂꯩꯍꯧꯔꯒꯗꯕꯅꯤ
ঙম্দ্রবোইরে,ꯉꯝꯗꯔ꯭ꯕꯣꯏꯔꯦ
লাইরিক্তুগী,ꯂꯥꯏꯔꯤꯛꯇꯨꯒꯤ
চন্দ্রশখীসু,ꯆꯟꯗꯔ꯭ꯁꯈꯤꯁꯨ
খুজিংগুম্না,ꯈꯨꯖꯤꯡꯒꯨꯝꯅꯥ
হোল্লিৱুদকী,ꯍꯣꯜꯂꯤꯋꯨꯗꯀꯤ
প্রিন্সিপাল,ꯄꯔ꯭ꯤꯟꯁꯤꯄꯥꯜ
মেজিষ্টরিএল,ꯃꯦꯖꯤꯁꯇꯔꯤꯑꯦꯜ
পোক্তবীদুসু,ꯄꯣꯛꯇꯕꯤꯗꯨꯁꯨ
এক্সপেন্সেস,ꯑꯦꯛꯁꯄꯦꯟꯁꯦꯁ
এক্সচেঞ্জগী,ꯑꯦꯛꯁꯆꯦꯟꯖꯒꯤ
মুৎলিবসিনি,ꯃꯨꯠꯂꯤꯕꯁꯤꯅꯤ
গ্রিভান্সকী,ꯒꯔ꯭ꯤꯚꯥꯟꯁꯀꯤ
মাইরেন্কাসু,ꯃꯥꯏꯔꯦꯟꯀꯥꯁꯨ
সোর্সশীংদগী,ꯁꯣꯔꯁꯁꯤꯡꯗꯒꯤ
শান্নরুবদগী,ꯁꯥꯟꯅꯔꯨꯕꯗꯒꯤ
লেঙ্গ্বেজেজ,ꯂꯦꯡꯒꯕꯦꯖꯦꯖ
প্রাক্টিসেস,ꯄꯔ꯭ꯥꯛꯇꯤꯁꯦꯁ
ৱানাক্রিপ্ট,ꯋꯥꯅꯥꯀꯔ꯭ꯤꯞꯇ
কোপাট্টাদার,ꯀꯣꯄꯥꯠꯇꯥꯗꯥꯔ
খল্লক্পোইরে,ꯈꯜꯂꯛꯄꯣꯏꯔꯦ
প্রোটেক্টেদ,ꯄꯔ꯭ꯣꯇꯦꯛꯇꯦꯗ
ওইজগদৌরিবনি,ꯑꯣꯏꯖꯒꯗꯧꯔꯤꯕꯅꯤ
